1000	32	32	0.000005	0.000018
10000	32	313	0.000043	0.000018
100000	32	3126	0.000302	0.000026
1000000	32	31251	0.005353	0.000121
1000	64	16	0.000004	0.000019
10000	64	157	0.000031	0.000015
100000	64	1563	0.000329	0.000027
1000000	64	15626	0.005284	0.000065
1000	128	8	0.000004	0.000018
10000	128	79	0.000031	0.000014
100000	128	782	0.000337	0.000021
1000000	128	7813	0.005199	0.000062
1000	256	4	0.000004	0.000018
10000	256	40	0.000031	0.000014
100000	256	391	0.000341	0.000022
1000000	256	3907	0.006549	0.000066
1000	512	2	0.000005	0.000021
10000	512	20	0.000044	0.000017
100000	512	196	0.000391	0.000025
1000000	512	1954	0.006195	0.000067
