1000	32	32	0.000025	0.000022	0.000028
10000	32	313	0.000254	0.000024	0.000034
100000	32	3126	0.002339	0.000045	0.000128
1000000	32	31251	0.026297	0.000101	0.000940
1000	64	16	0.000023	0.000019	0.000018
10000	64	157	0.000227	0.000016	0.000042
100000	64	1563	0.002298	0.000022	0.000123
1000000	64	15626	0.022351	0.000056	0.000889
1000	128	8	0.000024	0.000019	0.000018
10000	128	79	0.000228	0.000024	0.000026
100000	128	782	0.002290	0.000019	0.000114
1000000	128	7813	0.022672	0.000040	0.000923
1000	256	4	0.000026	0.000021	0.000019
10000	256	40	0.000263	0.000017	0.000025
100000	256	391	0.002311	0.000020	0.000135
1000000	256	3907	0.022669	0.000036	0.000890
1000	512	2	0.000025	0.000020	0.000017
10000	512	20	0.000229	0.000015	0.000024
100000	512	196	0.002270	0.000025	0.000116
1000000	512	1954	0.022678	0.000040	0.000905
